system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1680,39504.20406410441,2597.5275120354836,6314.555461492878,253,1,34,-12.917375000000007,-69.997625,1,0.0,1571.5,1224.5,347.0,0.0,1.9024454,
1_1_1_1_1681,39079.88681518657,3360.3224466825664,6489.642667401767,254,1,24,-12.923124999999999,-70.001625,1,0.0,1571.5,1224.5,347.0,0.0,1.3285846,
1_1_1_1_1682,12155.727630285226,28265.579777307576,997.3755072824155,283,1,21,-12.776375000000002,-70.513125,1,16.0,1571.5,1224.5,347.0,-3.2,2.1151986,
1_1_1_1_1683,14254.208333522212,30989.443066951906,38.75021736330166,287,1,34,-12.766374999999996,-70.537875,0,10.5,1571.5,1224.5,347.0,3.2,1.8543341,
1_1_1_1_1684,13857.002985912464,22912.909271722554,3580.218646459671,299,1,21,-12.832374999999999,-70.499875,0,-42.0,1571.5,1224.5,347.0,26.3,2.1155787,
1_1_1_1_1685,4373.1661443859875,38031.18692363539,3564.111877355171,251,1,34,-12.606125000000006,-70.436875,0,18.5,1571.5,1224.5,347.0,-5.1,2.7802885,
1_1_1_1_1686,674.1060971029466,31968.412308721327,1483.2359861467044,276,1,42,-12.656625000000005,-70.41437499999999,0,0.0,1571.5,1224.5,347.0,0.0,3.9779084,
1_1_1_1_1687,8968.193118014462,26340.39330118957,2281.586091948034,353,1,21,-12.931875000000005,-70.584375,0,-14.0,1571.5,1224.5,347.0,8.4,5.495079,
1_1_1_1_1688,13723.900018126025,29376.436017812688,191.79962701691608,289,1,24,-12.777625,-70.528375,0,0.0,1571.5,1224.5,347.0,1.1,0.950955,
1_1_1_1_1689,5294.720166154055,33201.67357412211,3010.154369159807,282,1,31,-12.665625000000006,-70.457375,1,0.0,1571.5,1224.5,347.0,0.0,2.0834615,
1_1_1_1_1690,9578.067587291607,34402.78067229838,3065.7096060373697,261,1,31,-12.677875,-70.494875,0,-3.0,1571.5,1224.5,347.0,1.8,3.3981993,
1_1_1_1_1691,38843.346850979644,2090.6709128956263,5327.545659743596,251,1,34,-12.910624999999996,-70.003625,0,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_1692,3663.2154126761325,12044.55199812136,3661.1675505903977,468,1,21,-13.047875000000005,-70.469375,0,-1.0,1571.5,1224.5,347.0,10.2,8.699653,
1_1_1_1_1693,36652.7380916811,2917.1299565620457,865.0378886309488,253,1,34,-12.851624999999999,-70.029125,1,-11.0,1571.5,1224.5,347.0,13.2,4.6703296,
1_1_1_1_1694,14233.998963212734,29417.98303250383,220.9041576127211,298,1,24,-12.780625,-70.532125,1,13.0,1571.5,1224.5,347.0,-2.9,0.9509665,
1_1_1_1_1695,37706.43453734446,4658.357491572228,6700.667599623163,258,1,34,-12.933125000000004,-70.014625,1,-9.5,1571.5,1224.5,347.0,5.7,2.1162643,
1_1_1_1_1696,3764.1437583007237,30075.679349011643,4763.86169834997,286,1,34,-12.685874999999996,-70.435375,0,0.0,1571.5,1224.5,347.0,0.0,1.327944,
1_1_1_1_1697,36676.22814227746,5362.146916574708,6863.451592801077,254,1,34,-12.937875000000005,-70.02437499999999,1,0.0,1571.5,1224.5,347.0,0.0,3.3672755,
1_1_1_1_1698,37519.304258011616,3591.306220038729,5647.448131345717,254,1,34,-12.923124999999999,-70.015875,1,-55.5,1571.5,1224.5,347.0,33.3,0.0,
1_1_1_1_1699,9704.339371315647,27247.65182451418,2107.0381811563325,325,1,21,-12.929625000000001,-70.592375,0,-62.0,1571.5,1224.5,347.0,41.0,2.0839155,
1_1_1_1_1700,13457.140801375108,23247.97519791206,3551.2136434937056,300,1,24,-12.825874999999996,-70.497875,0,8.5,1571.5,1224.5,347.0,1.9,4.161974,
1_1_1_1_1701,15538.808260748528,23079.425304702127,2988.3341622153766,299,1,31,-12.846125,-70.513625,1,0.0,1571.5,1224.5,347.0,0.0,0.9512139,
1_1_1_1_1702,38628.13721708963,2878.299617713739,5745.443846648848,255,1,34,-12.917625000000001,-70.005625,1,-61.0,1571.5,1224.5,347.0,36.6,0.92740995,
1_1_1_1_1703,16203.026327965816,25565.377568185013,767.6138316678974,293,1,21,-12.827375000000004,-70.527625,1,13.0,1571.5,1224.5,347.0,13.8,6.009846,
1_1_1_1_1704,30614.892909301874,2166.0706513806194,6594.776549737436,263,1,34,-12.921625000000006,-70.078875,1,-33.5,1571.5,1224.5,347.0,20.1,0.95150083,
1_1_1_1_1705,48590.275365969545,7339.235373511184,8180.893819927755,241,1,41,-12.832625000000007,-69.921875,0,1.0,1571.5,1224.5,347.0,0.9,2.1155787,
1_1_1_1_1706,36268.71146107723,5509.011471340155,6808.790899316862,256,1,34,-12.938125,-70.028125,1,-6.5,1571.5,1224.5,347.0,3.9,0.0,
1_1_1_1_1707,34711.71741619904,329.87612948381496,417.2639659557919,256,1,21,-12.876125000000002,-70.043375,0,-24.5,1571.5,1224.5,347.0,14.8,2.6554868,
1_1_1_1_1708,3783.2474860266993,37074.02081452009,2387.203747776556,254,1,31,-12.617374999999996,-70.44087499999999,1,-9.5,1571.5,1224.5,347.0,13.7,3.3659194,
1_1_1_1_1709,42691.21536811681,2745.929626918944,9132.805366195622,255,1,34,-12.922125000000008,-69.968625,0,0.0,1571.5,1224.5,347.0,0.0,2.9381156,
1_1_1_1_1710,14105.008413986947,30186.873363992396,252.617337298935,290,1,24,-12.772874999999999,-70.534125,0,-7.5,1571.5,1224.5,347.0,4.8,2.1151743,
1_1_1_1_1711,5433.460126322448,29578.79564029397,5374.53950561915,292,1,24,-12.707374999999999,-70.460875,0,-57.0,1571.5,1224.5,347.0,37.0,1.8543341,
1_1_1_1_1712,30835.10807541597,5729.928438665831,9618.91704316619,269,1,24,-12.954374999999999,-70.079875,0,-27.0,1571.5,1224.5,347.0,16.2,2.655913,
1_1_1_1_1713,19551.604481653336,30901.676313587686,4576.608047315173,306,1,34,-12.824375000000003,-70.585625,0,1.5,1571.5,1224.5,347.0,-0.2,2.9978619,
1_1_1_1_1714,8274.172431858604,20258.93065164278,9048.139020888937,441,1,21,-12.995874999999998,-70.611375,0,14.5,1571.5,1224.5,347.0,3.6,2.1166954,
