system:index,0_mined,0_mined_1,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,sand,scale,slope,year,.geo
2_2893,1,0,0,0,0,0,0,0,0,0,220,0.6118065981018772,32,1000.3597009326195,7841.824736329708,35990.71215258181,8014.123752203044,24341.652106170044,500.17985046630974,200.0719401865239,1000.3597009326195,9691.105613283373,21,-12655,-69526,0.0,38,0.0,0.92740995,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52661219272875,-12.65557377165294]}"
2_2894,1,0,0,0,0,0,0,0,0,0,896,0.14274362055416948,38,8904.11940359717,3227.663425677021,8904.11940359717,18567.10989077969,9140.702675578083,27611.76951262204,99.9894965186969,15618.85865558444,12169.588490187652,42,-13184,-70864,0.0,38,0.0,16.373615,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8643556717384,-13.184554001023523]}"
2_2895,1,0,0,19,0,0,0,0,0,0,212,0.9225499585119815,32,1170.9114059175497,8305.540344555498,21622.961247826348,7308.232483722231,25143.519366096727,8052.8805259748515,5097.998786384375,1170.9114059175497,22122.58866185335,24,-12616,-69397,-9.5,38,5.7,1.0420334,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39726029238815,-12.616190814418477]}"
2_2896,1,0,0,34,0,0,0,0,0,2,203,0.8774634857167529,31,3884.7897339938168,17656.994598873513,16391.96069626124,12205.097865292484,24568.95659229711,5201.998112204098,3586.067091204121,3884.7897339938168,12904.95685527555,24,-12535,-69329,-15.0,34,9.6,2.4187562,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.33003409358888,-12.534896508007805]}"
2_2897,1,0,0,5,0,0,0,0,0,2,208,0.8782067485691998,37,1044.4068012064313,6673.2354438504935,35772.21805685288,6847.172039711449,23170.81477260915,1077.4210020344879,400.1441146637046,1044.4068012064313,9265.086179527014,31,-12665,-69522,-0.5,34,0.9,4.048693,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52248872990319,-12.66561918806613]}"
2_2898,1,1,1,19,0,10,0,0,0,0,205,0.8977846173034287,31,2371.555012176873,12153.691944862885,18836.12400255034,9326.633356030057,24619.311666328693,4320.20607802922,2203.108645772633,2371.555012176873,18253.305011578126,42,-12587,-69370,-9.5,39,6.7,4.272598,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.37042539222922,-12.587473219851882]}"
2_2899,1,0,0,0,0,0,0,0,0,0,203,0.7704798487080851,36,4572.20332531777,11257.939546906302,35444.52062475044,11358.822329316732,27779.404442283652,200.07199875919667,2506.894959095315,4572.20332531777,12679.735566144262,31,-12622,-69524,0.0,39,0.0,5.041673,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5243346268217,-12.62248227735102]}"
2_2900,1,1,0,9,1,32,0,0,1,22,211,0.8625784172162323,35,4805.886825518002,11897.117775957335,36532.810531227224,12046.326038967622,28410.883933775054,282.9440923133049,2832.97551654506,4805.886825518002,12359.184507381546,21,-12619,-69534,17.5,37,-0.7,1.9912059,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5342736172142,-12.620021064585258]}"
2_2901,1,10,1,27,1,27,0,0,0,0,383,0.9018417966926618,38,12531.867357376977,0.0,14940.43942378474,22742.96425481303,4301.131130749939,13157.410993903777,199.99853515088554,12531.867357376977,7375.581544868174,21,-12986,-70672,-13.5,34,10.8,9.005931,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.67318160508643,-12.98683089901876]}"
2_2902,1,0,0,0,0,0,0,0,0,0,219,0.20491191858273017,34,13106.47587020737,32068.466254987397,30998.799793424456,25877.512342780963,40027.613195943406,8908.418723890129,100.03777606796844,13106.47587020737,12499.91927294245,21,-12400,-69391,0.0,41,0.0,7.310238,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39141214895398,-12.401341104150667]}"
2_2903,1,0,0,0,0,18,0,1,0,0,211,0.8651274541092916,33,500.1904422473754,15060.301464549937,18592.28799089365,11673.634816880758,25573.187193244084,4135.579900247138,2417.5296436910553,500.1904422473754,16776.89745841221,21,-12562,-69362,0.5,37,1.7,3.802578,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.36348510347551,-12.562253205685124]}"
2_2904,1,3,1,30,0,0,0,0,0,0,250,0.9509813508467615,35,10051.390349062101,9931.24989281781,10051.390349062101,39370.00290601127,21171.326915945443,5409.142061979856,1300.1959373824923,11015.28790751957,5197.897898711525,24,-12560,-70306,-15.0,37,9.0,1.6842955,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3067796115193,-12.561214208527053]}"
2_2905,1,0,0,0,0,0,0,0,0,0,206,0.4016963885148046,36,2942.1775847881254,9522.454230772046,27514.732498124697,9642.034602680955,26497.54381158516,4178.866953918811,0.0,2942.1775847881254,18908.05894174058,21,-12613,-69451,0.0,37,0.0,4.328539,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45194780899604,-12.613662340592736]}"
2_2906,1,0,0,0,0,0,0,0,0,0,562,0.17728398960211278,34,1315.2324098775043,3533.952190531295,1315.2324098775043,16161.537087700211,5375.617659823788,23689.594541198192,99.99526844274934,7378.675182988793,3046.1651044797295,41,-13158,-70754,0.0,41,0.0,1.5017797,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75458348647415,-13.158212767648367]}"
2_2907,1,0,0,14,0,1,0,0,0,0,215,0.9217968276939197,34,1104.93119394801,6397.598382858943,37746.24139183844,6621.279880274635,22863.59048834095,1300.4650096065398,721.3681960127919,1104.93119394801,7172.641442365719,21,-12675,-69539,-7.0,37,4.3,1.3909631,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53881031973395,-12.675895182169269]}"
2_2908,1,0,0,0,0,0,0,0,0,0,430,0.18567486388783536,42,8563.109020882288,0.0,15968.510333634462,15565.946045706683,2220.76674562561,19167.275630682077,100.01830398888245,8563.109020882288,16049.12043844323,31,-13126,-70221,0.0,30,0.0,6.435203,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22225758677222,-13.126311003599975]}"
2_2909,1,0,0,0,0,0,0,0,0,0,405,0.18381715347144065,44,7763.489930651055,0.0,15209.6541614829,14760.715380196052,3023.7895812441425,19386.48466499318,806.3714570579817,7763.489930651055,15292.301674531629,31,-13123,-70228,0.0,32,0.0,12.889091,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22860741829106,-13.123297322364312]}"
