system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_1566,45685.33027014951,9806.34515431945,16467.38053113272,250,1,34,-12.998374999999996,-69.950125,1,-0.5,1160.1,1266.4,-106.30000000000018,0.3,1.3287905,
2_1567,41739.586264343285,3685.191496346709,8908.06848424478,255,1,24,-12.930625000000006,-69.977625,1,-5.0,1160.1,1266.4,-106.30000000000018,14.4,2.083917,
2_1568,19940.884478482385,31256.905062863898,1602.361969667259,241,1,31,-12.627625000000009,-70.204375,1,17.5,1160.1,1266.4,-106.30000000000018,23.4,2.114199,
2_1569,12747.403097158085,25396.53766519442,1715.8553291283176,294,1,24,-12.804874999999996,-70.504375,0,-14.5,1160.1,1266.4,-106.30000000000018,8.7,3.3667088,
2_1570,14930.81494321493,22700.726705546233,3371.593870473873,305,1,21,-12.853125000000006,-70.514625,0,50.0,1160.1,1266.4,-106.30000000000018,36.5,10.139468,
2_1571,39696.76292818704,1512.8331174117307,5706.84365443945,248,1,24,-12.906625000000005,-69.995875,0,177.0,1160.1,1266.4,-106.30000000000018,-18.1,2.0838754,
2_1572,34375.069721406566,1672.688888927234,1004.7045345683608,257,1,24,-12.863875000000007,-70.048125,0,152.5,1160.1,1266.4,-106.30000000000018,-34.2,3.399954,
2_1573,50347.42200418356,25987.329060045973,14503.256255560864,236,1,21,-12.655375000000006,-69.928375,1,18.0,1160.1,1266.4,-106.30000000000018,9.1,2.8494024,
2_1574,50357.708065493774,25879.769652023977,14411.7918228627,230,1,21,-12.656374999999997,-69.928375,1,18.0,1160.1,1266.4,-106.30000000000018,7.5,1.8543341,
2_1575,1269089.4226342016,13966.817804312384,20332.176260672542,243,1,21,-13.040374999999997,-69.922875,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,6.328041,
2_1576,14785.760328767537,23760.04313400926,2154.5394661688833,307,1,21,-12.855125000000001,-70.527875,0,191.5,1160.1,1266.4,-106.30000000000018,-40.6,4.225709,
2_1577,42470.43304348189,8546.203913895959,12786.874241971916,254,1,34,-12.975125000000006,-69.975625,0,-37.5,1160.1,1266.4,-106.30000000000018,54.3,1.8543341,
2_1578,13005.705506068147,29853.15635135569,2946.4990080464895,383,1,11,-12.908375000000007,-70.613875,0,-102.5,1160.1,1266.4,-106.30000000000018,71.4,8.0625,
2_1579,5894.263256778574,3559.932235758619,641.0452080315665,413,1,31,-13.074124999999995,-70.319625,0,-36.5,1160.1,1266.4,-106.30000000000018,35.9,14.977686,
2_1580,33936.794931618286,22505.627430366938,13885.51246457507,251,1,31,-12.675875000000005,-70.082625,0,-75.5,1160.1,1266.4,-106.30000000000018,48.3,2.7802885,
2_1581,39407.62930919745,3185.6347545933213,6679.211378060475,258,1,24,-12.922875000000005,-69.998625,1,56.0,1160.1,1266.4,-106.30000000000018,12.2,3.7047918,
2_1582,28038.748974795475,13175.080919022028,15438.571058043875,270,1,31,-13.034625000000005,-70.11937499999999,0,1.5,1160.1,1266.4,-106.30000000000018,0.5,11.273053,
2_1583,20536.7255096362,15872.216524975662,12790.627171578484,289,1,31,-13.059125000000009,-70.183875,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,11.929828,
2_1584,39465.07520780281,6490.405666925022,9444.380866643596,256,1,34,-12.954125000000005,-70.00037499999999,0,352.5,1160.1,1266.4,-106.30000000000018,-92.7,2.083958,
2_1585,9630.093070684667,30818.913210576036,8480.886968931089,237,1,41,-12.636375000000001,-70.301125,0,-9.5,1160.1,1266.4,-106.30000000000018,9.8,4.99925,
2_1586,6446.829966309175,35826.984623399745,2555.158767359871,259,1,21,-12.647625000000005,-70.47387499999999,0,-6.0,1160.1,1266.4,-106.30000000000018,4.9,4.723144,
2_1587,24381.108290826603,14970.687173456523,15624.552112799458,286,1,34,-13.050375000000003,-70.149875,0,-4.0,1160.1,1266.4,-106.30000000000018,2.4,4.228377,
2_1588,2190.9127610152336,5985.201718607883,678.0026769444555,440,1,31,-13.070875000000001,-70.41562499999999,1,-26.5,1160.1,1266.4,-106.30000000000018,20.7,8.411749,
2_1589,11351.879512709309,34442.96125969149,6888.515909605613,239,1,41,-12.599625000000003,-70.282375,0,12.5,1160.1,1266.4,-106.30000000000018,10.6,2.9377246,
2_1590,14916.301730912952,30848.19285600277,4040.9832014467715,361,1,41,-12.887124999999997,-70.61512499999999,0,-35.5,1160.1,1266.4,-106.30000000000018,24.0,4.723324,
2_1591,34894.52944276135,30112.227272221917,16699.516237744945,239,1,21,-12.603375,-70.067375,0,144.0,1160.1,1266.4,-106.30000000000018,-28.9,1.8543341,
2_1592,15231.795689296492,28448.680817774424,997.3384510289769,296,1,24,-12.795625000000001,-70.53462499999999,0,-76.0,1160.1,1266.4,-106.30000000000018,75.5,0.951023,
