system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,sand,slope,type,.geo
1804,218,0.6491909292170402,34,13,5447.051752367399,11317.594709124374,46690.43657724179,11247.082176995675,26352.359159911444,6142.141647946382,1676.8812651299288,5447.051752367399,5922.337645186549,21,-12674,-69622,1,35,0.66404617,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6230269589729,-12.674761744310516]}"
1805,214,0.33662336213066285,34,9,500.1903934378388,10076.074452245153,18007.96566366534,6643.311809397102,22550.322661736736,4687.934229887403,4787.216661001985,500.1903934378388,18611.38485158345,21,-12610,-69363,1,37,0.46373534,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.36415224742377,-12.611038386968666]}"
1806,221,0.703946722006023,33,13,4032.4653418719467,13947.721302150432,53549.51402268213,13913.241637598729,25769.94609602419,412.4472587021734,608.4779190157088,4032.4653418719467,11076.159366341464,21,-12682,-69685,1,36,3.9781175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.68567075265521,-12.682745718560383]}"
1807,256,0.4678937387296111,36,7,8123.188063587243,23991.84049061166,23555.68256034601,38284.61331328621,35212.24235801922,1414.494236578043,1020.0062997660848,8123.188063587243,2202.7086319762793,21,-12557,-70175,1,36,1.8543341,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.17501027524574,-12.557167748128155]}"
1808,212,0.8120409080958995,31,13,3574.7095919797716,13516.368539338182,51793.093851572274,13510.444529394137,26038.886076791325,1044.3800470217668,922.2629877397702,3574.7095919797716,9707.8858283284,42,-12678,-69670,1,38,2.4200587,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.670003007227,-12.67826449090511]}"
1809,222,0.7313376402150604,28,8,2000.6778148292642,10849.873347115048,49732.943126556434,10849.873347115048,24108.99781116968,3290.4916348805305,1924.190307595314,2000.6778148292642,6780.202363487667,21,-12694,-69647,1,37,2.1146479,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64794199658094,-12.694595503027221]}"
1810,199,0.35701981803266203,31,9,707.3662017366782,6042.911510717924,30754.245533820078,6200.660926686313,23007.785726958107,4017.690579521205,1063.4045758751406,707.3662017366782,13972.228405701568,42,-12655,-69477,1,37,0.66402173,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4774846121745,-12.65607330620617]}"
1811,218,0.6863524199741109,33,8,1803.4083467254613,7345.601035866636,42417.004198571594,7338.104479532781,23251.43614778602,4983.7159730858075,1844.5560367351948,1803.4083467254613,3449.3981190620866,21,-12687,-69580,1,38,2.9963963,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.580693239016,-12.687517072677272]}"
1812,225,0.7173304900496627,32,8,2702.752387613412,12706.992459862404,52593.57628432393,12661.235462524974,24815.531168755988,824.8961677083971,200.06670762523183,2702.752387613412,9775.157785651083,21,-12690,-69675,1,37,0.47534642,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67555953283856,-12.690005500530994]}"
1813,209,0.5603504860943285,31,8,1700.6212829571655,6991.8318072937345,31746.75195664708,7133.524663927319,23800.50027847859,3047.4225482364604,583.3082877807841,1700.6212829571655,13345.415160373783,31,-12650,-69487,1,42,2.365592,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48760391346137,-12.65062937597709]}"
1814,218,0.6738049774179045,34,13,6366.092973409495,16038.14994390085,51242.54496319135,16038.14994390085,28909.50850282654,3313.2085937270654,1200.402002976503,6366.092973409495,11143.30089523732,21,-12652,-69668,1,36,2.1143613,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.66809288157819,-12.652046374439399]}"
1815,259,0.6378965879411399,34,6,2886.5266553136034,1700.2077558598355,2886.5266553136034,38868.2284799165,12913.587881326786,1104.6710863349213,2202.5406926841756,4272.523951142455,4272.523951142455,21,-12582,-70379,1,38,3.3223696,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.37946124298679,-12.582412029438528]}"
1816,219,0.7001676300017139,34,8,2119.7046547201307,7582.894152275197,42690.47664722412,7569.0248050210175,23444.297068042975,5163.204103770013,1703.5354751910438,2119.7046547201307,3472.5276016665352,24,-12686,-69583,1,38,4.3973413,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.58345409177343,-12.68660677355789]}"
1817,199,0.6078553048420228,32,9,1360.6435998671273,9065.31687558066,31810.03628862428,9206.076626740725,25921.03996541558,985.2453325108294,1118.4421495083575,1360.6435998671273,14388.922345731258,31,-12631,-69490,1,39,2.374882,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4903302533172,-12.63163478274177]}"
