system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
2772_0,235,0.10844495228324387,38,0,4977.2907384840955,9713.618520206152,60877.08553901915,9669.28639935507,18094.417416605967,3704.9068307282196,67.69944123267436,4977.2907384840955,12249.650922498116,30,-12771,-69734,0,0.9123847194594769,35,4.3241673,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.73381117574489,-12.77032680129322]}"
2780_0,270,0.07643230434209451,38,0,7353.520420790544,18008.080007585108,24794.742229266525,18062.994233473713,30873.122953412396,5952.2771630368425,1103.6432677057685,7353.520420790544,12214.699947383113,26,-12748,-70154,0,0.8630495734531518,35,1.6584132,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.15377419589923,-12.747126956702461]}"
2781_0,233,0.4559441230342243,35,0,9225.341989565908,21950.794288376266,56793.58244048339,21881.39856375799,32920.616540202,275.5666574577667,413.86664193101734,9225.341989565908,5172.333998784735,21,-12683,-69867,0,0.9924405737392861,33,1.9208543,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86617320262826,-12.683122949397362]}"
2793_0,264,0.044549748738113515,38,0,2297.957315006306,5749.506652265148,54738.18557076576,5714.594693897558,19193.041189566935,15287.046151480023,197.9508567624164,2297.957315006306,12060.967113565737,24,-12835,-69860,0,0.9660802502130476,37,1.2651703,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86116140784434,-12.835044077366797]}"
2794_0,285,0.3118389538290997,35,0,2029.4870445674978,10310.718397153509,8684.538429096474,10405.360650416953,31917.964717292893,14595.342316456175,173.30988456063602,2029.4870445674978,24668.78129335457,21,-12830,-70291,0,0.8905979723591997,35,2.8108454,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.29234124220045,-12.827853192297656]}"
2796_0,275,0.4146210427460788,38,0,5788.644456152565,14699.925234650693,12899.288127938058,28403.52030886836,24167.488884836002,2774.8893687138325,136.35075228427326,5788.644456152565,5977.384519091814,23,-12656,-70275,0,0.8075520150190187,34,4.92078,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27488974708038,-12.654353863080367]}"
2797_0,317,0.13293276585912692,39,0,1650.9580887504842,14466.085602432011,1650.9580887504842,12800.654426559635,24589.06972221305,24793.249601153864,56.25674520104205,7959.439548196186,20736.45376436181,27,-12844,-70387,0,0.8257104962613232,38,2.1057856,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38640015208992,-12.843646842675522]}"
2806_0,361,0.45339538340315716,39,0,6537.872076369692,8445.588285530686,6710.000423652611,16988.814766851207,13368.758836345254,31495.77369250646,1264.0465649687626,6537.872076369692,8387.36061395075,29,-12930,-70498,0,0.9432436337818603,36,2.5740213,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49747047204237,-12.929820987331116]}"
2808_0,421,0.5554310200842885,40,0,105.5905013066542,12350.127957249313,105.5905013066542,11360.516229272134,18179.618257609658,36932.78239036805,150.0138592230147,2378.7741042506655,1654.7065120403333,29,-13014,-70454,0,0.8281385570268325,36,3.943394,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.45370651314678,-13.01142934055918]}"
2809_0,241,0.37703707974242173,34,0,7220.731114594713,26559.890551234148,25316.42236932996,29058.99138660668,37038.92591785977,2888.0705681466848,2438.607106243263,7220.731114594713,7531.624020402369,35,-12639,-70154,0,0.8339415037175956,39,1.7039781,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.15328530075445,-12.63863394769107]}"
