system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1757,283,85.76757,5373,1850,5373,33338,6583,2937,8746,1,31,-12.664898033159075,-70.45891015227262,0,0.0,1571.5,1224.5,347.0,0.0,0.47529978,
1_1_1_1_1758,284,58.375748,4140,3388,4140,31640,8439,3519,7957,1,24,-12.672982870716151,-70.44184216187435,1,-2.5,1571.5,1224.5,347.0,2.1,1.6845293,
1_1_1_1_1759,286,103.38225,5152,2008,5152,33103,6834,2980,8568,1,21,-12.665796348443195,-70.45621520642025,1,0.0,1571.5,1224.5,347.0,0.6,1.3909631,
1_1_1_1_1760,253,94.6949,492,590,42966,492,12772,8050,1650,1,31,-12.892171800041314,-69.96663337657512,0,0.0,1571.5,1224.5,347.0,0.0,2.8520722,
1_1_1_1_1761,292,83.897255,14815,0,14815,29866,13072,630,22358,1,34,-12.780780704810493,-70.53796189727514,0,13.5,1571.5,1224.5,347.0,-2.3,0.47551623,
1_1_1_1_1762,300,10.251493,12079,630,12079,24586,6312,354,11259,1,21,-12.884985277768358,-70.55323325710516,0,-7.0,1571.5,1224.5,347.0,12.0,0.66432995,
1_1_1_1_1763,255,54.80183,1003,0,39781,1003,11818,5420,933,1,34,-12.901154952882509,-69.99537946566694,0,-9.5,1571.5,1224.5,347.0,6.0,2.339222,
1_1_1_1_1764,270,96.11151,2317,2166,2245,35031,6664,393,4901,1,21,-12.635253628783131,-70.4355539548855,0,-1.0,1571.5,1224.5,347.0,3.6,1.057485,
1_1_1_1_1765,255,29.529905,1453,1419,34525,1453,15983,787,3488,1,24,-12.865222341517729,-70.04658343686175,0,-2.0,1571.5,1224.5,347.0,10.0,1.4699891,
1_1_1_1_1766,255,103.95933,11141,0,42517,11141,984,14834,11626,1,24,-12.999071318851538,-69.98010810583692,1,-0.5,1571.5,1224.5,347.0,0.3,0.92740995,
1_1_1_1_1767,302,87.367805,19872,0,19872,31760,8214,4978,19034,1,41,-12.801441956345242,-70.57928440034463,0,9.0,1571.5,1224.5,347.0,1.1,0.6642163,
1_1_1_1_1768,264,1.9866211,7095,0,33606,7095,5413,9438,7184,1,24,-12.961342076918518,-70.05556658970295,0,-20.0,1571.5,1224.5,347.0,13.5,1.0423299,
1_1_1_1_1769,327,44.95016,13482,787,13581,20794,6016,12449,6469,1,31,-12.999071318851538,-70.65923446063127,0,-1.0,1571.5,1224.5,347.0,3.3,1.0587199,
1_1_1_1_1770,310,94.465675,17592,0,17592,29671,4942,3360,14484,1,24,-12.84276445941474,-70.58377597676522,0,1.0,1571.5,1224.5,347.0,2.9,1.3283668,
1_1_1_1_1771,274,72.408035,8283,0,8283,31941,8632,2835,13394,1,24,-12.699034013955616,-70.4858596107962,0,18.0,1571.5,1224.5,347.0,-2.2,1.3279793,
1_1_1_1_1772,283,2.6860547,16875,1185,16829,25203,9954,846,17096,1,41,-12.836476252425904,-70.53077537500218,0,-7.0,1571.5,1224.5,347.0,5.5,1.0422214,
1_1_1_1_1773,306,103.46523,3039,0,14347,3039,18879,5395,20036,1,24,-12.945172401804365,-70.23163638539037,0,0.0,1571.5,1224.5,347.0,0.4,1.3286449,
1_1_1_1_1774,267,7.5196137,5827,0,31165,5827,6422,9551,6911,1,34,-12.955053869929682,-70.07712615652181,0,-18.5,1571.5,1224.5,347.0,13.6,0.9516285,
1_1_1_1_1775,303,81.16589,11816,6557,11816,22072,15266,3787,19622,1,21,-12.825696469016469,-70.48226634965972,0,-0.5,1571.5,1224.5,347.0,0.3,2.1155324,
1_1_1_1_1776,277,27.246416,10509,880,10509,29658,12566,2467,18913,1,21,-12.74844135458219,-70.50741917761508,0,26.0,1571.5,1224.5,347.0,-2.4,2.6547983,
1_1_1_1_1777,280,53.131924,9815,1189,9815,29208,12769,2976,18393,1,21,-12.74754303929807,-70.50113097062624,1,-1.0,1571.5,1224.5,347.0,5.0,3.170705,
1_1_1_1_1778,253,4.935609,5727,0,34825,5727,7451,7392,5516,1,41,-12.944274086520247,-70.04209186044116,0,-16.5,1571.5,1224.5,347.0,10.7,1.6851063,
1_1_1_1_1779,397,51.813404,1294,5694,1294,5633,11154,880,2952,1,21,-13.056563497035187,-70.40680786579368,0,-0.5,1571.5,1224.5,347.0,1.1,7.3723235,
1_1_1_1_1780,266,82.74961,7880,0,7785,37456,2510,3743,7850,1,34,-12.63794857463549,-70.48675792608033,0,-2.5,1571.5,1224.5,347.0,1.5,1.9003428,
1_1_1_1_1781,258,98.33782,7004,0,39003,7004,5807,9577,7129,1,24,-12.95774881578204,-70.00526093379226,1,0.0,1571.5,1224.5,347.0,0.0,1.5006807,
1_1_1_1_1782,249,69.07786,5752,0,5737,38761,4134,3384,6897,1,42,-12.607405854975426,-70.45621520642025,0,-2.0,1571.5,1224.5,347.0,1.3,2.6540458,
1_1_1_1_1783,259,70.53422,12363,0,37133,12363,1185,13991,12179,1,24,-13.004461210556254,-70.03221039231585,0,-1.5,1571.5,1224.5,347.0,1.1,2.89067,
1_1_1_1_1784,299,56.877796,17285,0,17285,31776,11138,2273,21614,1,41,-12.780780704810493,-70.56221640994636,0,15.0,1571.5,1224.5,347.0,0.6,0.95096695,
1_1_1_1_1785,253,59.980774,630,1588,630,35535,9948,907,891,1,21,-12.61728732310074,-70.40231628937309,0,1.0,1571.5,1224.5,347.0,2.4,1.4988517,
1_1_1_1_1786,259,101.42736,7025,0,39712,7025,5664,10036,7283,1,24,-12.959545446350278,-69.99897272680342,0,0.0,1571.5,1224.5,347.0,0.0,2.1164463,
1_1_1_1_1787,306,34.33913,15112,0,15112,27867,4097,2007,12346,1,34,-12.864324026233609,-70.57658945449228,0,-10.5,1571.5,1224.5,347.0,6.5,1.0582591,
1_1_1_1_1788,253,94.27849,11333,0,44896,11333,1113,16894,12431,1,24,-13.00985110226097,-69.96034516958628,1,-4.5,1571.5,1224.5,347.0,4.3,1.6852478,
