system:index,cluster,sum,year,.geo
2_1,2.0,9061138.087890625,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_2,3.0,2.4085378876953125E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_3,4.0,2.0752576474609375E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_4,5.0,2.437309505859375E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_5,6.0,1.172229004296875E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_6,7.0,8392889.8203125,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_7,8.0,3.3042651255859375E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_8,9.0,1.7333035748046875E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_9,10.0,2.2001017985351562E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_10,11.0,1.9849998173828125E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_11,12.0,1.2426351466796875E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
