system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
1610_0,410,0.017134229622839923,38,0,30081.523025633345,9459.44300323683,37269.84831178954,30398.80539430677,0.0,11391.244510372324,206.33782318443232,30081.523025633345,33720.780875153854,22,-13200,-70038,0,0.8793467932606437,33,7.740303,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.03958858521756,-13.19786151908956]}"
1618_0,215,0.031070954060494423,35,0,9155.223166978089,2956.9980790679197,51432.38603797794,22222.867578932255,0.0,7103.09787583279,575.8143639698898,9155.223166978089,28798.21525758166,25,-12966,-69513,0,0.915754804121859,36,1.7539344,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51310494020892,-12.966165420115729]}"
1631_0,225,0.3320869031741885,40,0,261.79743716127143,8774.808682877168,9384.341236931468,3117.0617385460596,15156.006816621833,4482.531491182978,2200.2905393916303,261.79743716127143,10752.080651586959,25,-12616,-69284,0,0.9143233285480875,40,3.847816,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.28589322594489,-12.613846447292753]}"
1632_0,252,0.6876809462001902,34,0,7439.230502658942,0.0,44135.897745693284,7439.230502658942,4650.704076164948,5196.369163649834,676.7438612367695,13839.065982083906,8360.311991562396,35,-12973,-69956,0,0.9406833865344139,36,1.4917793,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9556626272792,-12.970342115519431]}"
1641_0,247,0.15602448179006972,38,0,7258.066930813935,10714.90138375322,35324.68265006571,23282.827557822555,13945.346139759897,1076.3047439907893,4498.183058726371,7258.066930813935,28938.654720487113,26,-12403,-68920,0,0.8094917996153737,40,1.7885982,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.92225952859333,-12.402380865682739]}"
1661_0,221,0.15520468643046198,40,0,140.5459709130943,7695.367498702464,15790.162865106526,2000.1483500093148,14609.642169097973,9655.527641244309,201.5602920793263,140.5459709130943,17587.364063266818,25,-12682,-69325,0,0.8320860468358787,42,2.485928,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3255675744027,-12.678909393412129]}"
1662_0,232,0.7233804891737089,35,0,4068.182217217516,21679.37871226328,21350.51950195424,17312.59018127314,29720.199136898642,1496.397588700915,798.8240254440261,4068.182217217516,12593.581398274642,21,-12500,-69362,0,0.8420118323739302,34,2.610546,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.36399584532418,-12.499811489683182]}"
1667_0,222,0.027710429127080216,35,0,24017.963356431697,14249.792755275166,35413.55804170665,33475.595493405024,0.0,773.3274639309208,958.312402087111,24017.963356431697,39628.62498076776,28,-12953,-69237,0,0.990501855904062,35,3.0645752,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.23740773872441,-12.950285961130904]}"
1668_0,656,0.19627763761333414,36,0,9773.991578393834,0.0,18812.79560371001,9773.991578393834,2557.3007976626277,28669.941177707602,442.7710361697292,14793.716262600357,18812.79560393711,21,-13221,-70245,0,0.963588055864261,37,17.009619,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.24453953716,-13.218645093978378]}"
1671_0,237,0.35515085125665885,35,0,392.2978467242202,15337.682402220224,18700.681742786004,392.2978467242202,17195.13120359509,16220.560790053934,2114.8490142368287,600.1347121894063,14471.013664152759,29,-12432,-69130,0,0.9505896349906032,47,1.7359471,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.13203439527175,-12.429489159706135]}"
1677_0,240,0.005702929419036356,35,0,28657.506835411965,23062.855732834098,60063.63267577223,41382.36736942526,0.0,4184.567841535843,327.3927392305021,28657.506835411965,48906.944872619766,27,-13126,-69418,0,0.8446901222055816,34,1.3699039,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.4193257451905,-13.123672261081822]}"
1684_0,347,0.023844786688347643,38,0,26881.373947665623,0.0,28151.3013877397,47372.525273302235,4427.566542536207,5755.99481390619,1548.2503720829588,26881.373947665623,30026.59246428535,24,-12816,-70832,0,0.8863985222222551,38,1.5112506,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83391206021447,-12.813787367405581]}"
1687_0,307,0.00948512597840146,39,0,30281.433317057927,41886.22492005624,42370.684173399735,54360.05717357655,52714.643526509186,13725.343273114599,173.32305269415778,30281.433317057927,22579.71512003387,34,-12386,-70068,0,0.8598548307658278,35,4.877919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.06937515751304,-12.384010209379614]}"
1692_0,292,0.04169456140200853,38,0,21352.43600138236,4452.718649417395,56076.492224837006,21352.43600138236,0.0,2617.4237184991307,75.02209147300569,23555.570508267323,24317.204135114727,23,-13092,-69849,0,0.8876880663857145,35,4.418818,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.85096978636908,-13.090057151387379]}"
1701_0,294,0.022949166079151734,38,0,22412.040720740733,32243.822996252788,59326.84280946113,32193.198502214625,44394.157088172375,17383.63846145314,1685.0340221663093,22412.040720740733,17746.53308713483,26,-12522,-69737,0,0.9354499419751878,34,1.6070023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.73862101177482,-12.520746575179038]}"
1702_0,198,0.3712907118454926,34,0,2392.692448754152,5874.097777134894,14021.209789333456,5594.86134844148,8234.476507001342,11324.30036268351,3656.2500088188467,2392.692448754152,12441.100024110201,28,-12508,-69086,0,0.9691156591848245,40,1.7918693,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.08697485417734,-12.505469168378353]}"
1709_0,260,0.6338447845082849,34,0,2618.7819009042537,2572.7814777213684,27909.576646655543,2618.7819009042537,15439.678869674935,9751.907077347238,1558.4233733590308,6861.375406072763,5509.1761007253845,34,-12878,-70104,0,0.928307233877443,38,1.4825817,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10460439630322,-12.877531891523954]}"
1716_0,241,0.822715512742899,38,0,7947.974926354209,15354.47599991657,43273.20126536785,15378.56682928299,28757.685442440357,10037.413026423286,1618.298966314936,7947.974926354209,4493.104046829283,29,-12748,-69982,0,0.8863093852093633,35,1.4978726,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9824545303051,-12.74781879319416]}"
1718_0,210,0.35739178458366755,39,0,4189.343747741225,15578.788224702905,25730.75295093063,15262.744419394436,32063.254521729505,9664.737557335364,78.02102257536232,4189.343747741225,21687.52064798622,33,-12550,-69428,0,0.8060925058149893,38,1.7511468,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.43034031058635,-12.548544856098054]}"
1727_0,304,0.01560798672296169,37,0,31857.5477063016,40723.6153891221,62733.41923863317,40701.24926160851,54030.687963277815,27014.459375368966,782.8787981372341,31857.5477063016,25763.53804132768,23,-12435,-69748,0,0.8370389091154421,34,2.7240791,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.74941545976385,-12.433909992086287]}"
1728_0,227,0.13944677089525603,38,0,4945.406643020149,250.0999403510009,13832.222592581451,15996.93648561808,0.0,7262.206161114418,1934.0406068091872,4945.406643020149,16919.404226546823,25,-12674,-69053,0,0.8254953468829043,36,1.2587917,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0538766764143,-12.673677515521911]}"
1734_0,340,0.014480843366813522,36,0,25004.70860446817,0.0,29419.31750670788,47582.223341181336,6006.548419049589,4498.246206271648,2952.297805004164,25004.70860446817,29460.07209280281,28,-12806,-70818,0,0.8828963081991287,37,1.9116606,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81725623456326,-12.80305644676727]}"
1741_0,618,0.03242996729848884,37,0,12399.9557046506,9315.348354952052,12399.9557046506,41268.26817220895,0.0,8289.755092112899,162.11409631851248,34186.60702261885,25292.62548361943,16,-12946,-70900,0,0.9957856106814325,36,9.696767,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90120395213171,-12.943461163104287]}"
1752_0,232,0.006637275845816666,35,0,27545.21289737844,21153.063090538955,37201.53488680537,38567.81342986615,0.0,6115.106847311002,181.79058081991806,27545.21289737844,41778.23162423855,24,-12974,-69160,0,0.9370029765563537,36,2.1022685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.15997622861637,-12.972047491409047]}"
1767_0,230,0.012014688147028706,35,0,21061.520937919868,17152.00746214059,29168.027031463705,31922.524427491076,0.0,10850.394552529697,77.61968384303661,21061.520937919868,33845.946938148605,27,-12898,-69130,0,0.9897451845252736,38,2.2541904,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.1322746674581,-12.896104022752864]}"
1774_0,760,0.052245611372172845,38,0,4548.6738709450465,4597.042475101757,4548.6738709450465,33479.66431749379,0.0,13155.954351600778,635.9716481416323,26164.57663078248,16206.758331491115,14,-13033,-70874,0,0.8153916839045566,35,14.44221,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.87421108451427,-13.030424755314298]}"
1786_0,220,0.13380592194061336,34,0,6846.245439267155,419.59310264326643,51186.270752760196,18658.778291329218,0.0,10860.111447334884,1503.044022201027,6846.245439267155,25464.524347900195,23,-12941,-69536,0,0.9895411508809622,34,2.4648893,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53517487810997,-12.938993813505668]}"
1790_0,322,0.0109498425530871,38,0,20554.608933388106,25901.40445040395,26834.692932547903,53220.98223570743,36221.22464487662,3544.306320295515,201.88171807622916,20554.608933388106,16876.659040695642,24,-12429,-70219,0,0.9587901735257139,36,1.6230843,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2185773054437,-12.426780121327749]}"
