system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_2_617,304,85.85556,7268,4947,7268,23478,17926,1100,19252,0,24,-12.780780704810493,-70.46070678284086,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9014103,
1_2_618,343,105.24925,39618,9280,39618,61965,0,26613,35535,0,24,-12.659508141454358,-70.82272784234102,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9561826,
1_2_619,255,106.582756,6908,6855,40736,6908,20054,5283,6622,0,34,-12.825696469016469,-69.99627778095106,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.6848527,
1_2_620,290,121.12437,26845,26634,47334,26845,43045,18833,23154,0,21,-12.508591173722278,-69.61808704633674,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9376159,
1_2_621,241,70.379105,18213,18134,41554,18213,32423,9473,8195,0,34,-12.713407058501529,-70.0070575643605,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.083543,
1_2_622,285,100.25485,10967,14714,10967,14809,29696,6329,19124,0,34,-12.780780704810493,-70.27834878016459,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.3787453,
1_2_623,248,106.266335,37143,25893,63597,37143,0,16877,49834,0,24,-13.197598996641952,-69.6109005240638,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.7030866,
1_2_624,277,112.82199,36219,36195,49405,36219,48260,24143,9156,0,31,-12.56159177548533,-69.93698897219917,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.3159232,
1_2_625,259,108.192,1590,0,33563,1590,14664,1295,12310,0,21,-12.73227167946804,-69.47884817729822,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.3656225,
1_2_626,317,64.15308,39511,6323,39511,67852,0,30725,29238,0,34,-12.56159177548533,-70.80745648251099,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.95015067,
1_2_627,241,68.09885,4429,4528,44632,4429,17041,8864,4636,0,41,-12.854442558108294,-69.95495527788157,0,19.5,1266.4,1411.2,-144.79999999999995,-5.7,1.3909631,
1_2_628,245,106.81913,1968,0,63107,1968,8583,5338,18605,0,21,-12.89935832231427,-69.78247874333061,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.720738,
1_2_629,360,118.67952,24445,9617,68187,24445,0,22806,32073,0,21,-13.103275891809401,-69.74474950139759,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.3657644,
1_2_630,284,116.010284,37293,37318,60444,37293,47082,26353,12995,0,31,-12.52655747940467,-69.83997092151427,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.8204544,
1_2_631,338,96.15157,34141,11501,34141,71342,0,34447,28781,0,24,-12.570574928326526,-70.85686382313756,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.041995,
1_2_632,253,111.88446,22509,22454,48797,22509,38244,15074,17910,0,24,-12.56249009076945,-69.64054492843974,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.92740995,
1_2_633,302,94.83967,1013,1013,10732,1013,23428,4761,22166,0,21,-12.914629682144302,-70.2603824744822,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.4700195,
1_2_634,364,47.743725,27972,4421,27972,55708,0,36317,36987,0,34,-12.78617059651521,-70.92423746944652,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0836678,
1_2_635,319,101.937195,19422,0,19422,33150,2088,6942,14536,0,24,-12.840967828846502,-70.61881027284589,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.0422252,
1_2_636,340,92.22861,29353,11173,29353,76583,0,39752,25171,0,34,-12.548117046223538,-70.8999829567753,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.663878,
1_2_637,274,109.62608,29199,29236,56362,29199,42298,20164,18971,0,42,-12.531049055825267,-69.70612194418045,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,7.3106165,
1_2_638,309,108.00724,31526,0,31487,61351,1202,27089,18693,0,41,-12.500506336165202,-70.66642098290423,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.5042017,
1_2_639,598,106.15648,6864,0,11059,6864,983,8460,11037,0,31,-13.1814293215278,-70.30799318454054,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,14.954499,
