system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
604,234,94.61623,22944,22981,48068,22944,35671,13886,3676,34,-12.683762654125585,,-69.95226033202921,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.9914633,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95269258579428,-12.683414597004726]}"
605,276,84.017685,13906,17532,13906,24012,25972,5430,9964,34,-12.6936441222509,,-70.2693656273234,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.7201285,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.26960671854489,-12.693752313316814]}"
606,382,109.77703,974,0,8069,974,20700,2615,16951,21,-12.948765662940843,,-70.29451845527875,,0,0.0,1411.2,1669,-257.79999999999995,0.0,11.5216,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.29438933821612,-12.948581697083203]}"
607,419,111.64461,17246,0,17306,27265,98,11268,9090,21,-12.945172401804365,,-70.68438728858662,,0,0.0,1411.2,1669,-257.79999999999995,0.0,8.976449,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68451599319364,-12.945267747822738]}"
608,312,60.612484,12625,7191,12588,18846,13390,6915,14078,34,-12.876900440211282,,-70.48855455664857,,0,0.0,1411.2,1669,-257.79999999999995,2.1,0.46373534,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.48863001565482,-12.876490255679093]}"
609,729,113.97862,11731,3796,13722,11731,6028,14332,12369,21,-13.081716324990534,,-70.64486141608536,,0,0.0,1411.2,1669,-257.79999999999995,0.0,16.168266,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64449756919397,-13.081926880896297]}"
610,317,75.934555,30150,5241,30059,51616,0,14484,21549,34,-12.652321619181402,,-70.68977718029133,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.504414,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68975281747997,-12.652361012327955]}"
611,268,96.20655,4761,0,29272,4761,7399,10275,7507,34,-12.952358924077322,,-70.09419414692009,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0585594,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09447096205794,-12.95248142871234]}"
612,260,97.90502,23408,23352,30308,23408,37090,10932,11609,21,-12.677474447136749,,-70.11665202902309,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.8496487,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.11704208737949,-12.677621018309884]}"
613,261,101.91792,4429,4528,45120,4429,17125,9356,4630,24,-12.854442558108294,,-69.95046370146096,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.4267051,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95056718998875,-12.854039949290632]}"
