system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_101,286,104.580475,3506,5800,3506,31815,13832,3067,3830,0,24,-12.643338466340207,-70.36997693914479,0,0.0,1571.5,1224.5,347.0,0.0,2.083424,
1_1_1_1_102,278,103.49487,11628,13876,11628,27308,22857,7588,6546,0,24,-12.666694663727315,-70.29092519414226,0,0.0,1571.5,1224.5,347.0,0.0,0.95054036,
1_1_1_1_103,294,35.651417,840,793,11920,840,23122,5905,21293,0,24,-12.906544844587227,-70.24960269107277,0,0.0,1571.5,1224.5,347.0,0.0,2.7207596,
1_1_1_1_104,242,63.61966,17908,3798,48970,17908,0,23724,19978,0,31,-13.076326433285816,-69.92081929708502,0,0.0,1571.5,1224.5,347.0,0.0,4.838871,
1_1_1_1_105,274,104.17678,16044,17749,16044,27284,27367,2855,7684,0,24,-12.662203087306716,-70.24780606050453,0,0.0,1571.5,1224.5,347.0,0.0,1.7005229,
1_1_1_1_106,285,77.73458,23213,0,23213,38411,8338,3434,23507,0,21,-12.759221137991625,-70.6233018492665,0,0.0,1571.5,1224.5,347.0,0.0,1.042155,
1_1_1_1_107,303,25.020218,2510,7882,2510,21391,18625,0,16528,0,24,-12.7673059755487,-70.416689333919,0,0.0,1571.5,1224.5,347.0,0.0,2.0836353,
1_1_1_1_108,288,79.87761,2232,12412,2232,21101,19573,2802,14213,0,41,-12.745746408729833,-70.37087525442891,0,0.0,1571.5,1224.5,347.0,0.0,1.6846828,
1_1_1_1_109,363,79.46006,7794,3065,7844,23227,7834,6469,768,0,21,-12.968528599191472,-70.6008439671635,0,0.0,1571.5,1224.5,347.0,0.0,7.3938537,
1_1_1_1_110,270,96.32815,18371,4134,38315,18371,0,20277,18528,0,24,-13.061055073455783,-70.01963397833818,0,0.0,1571.5,1224.5,347.0,0.0,3.173916,
