system:index,altitude,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,sand,slope,type,.geo
4579,365,41,2,12101.586007683753,0.0,14558.078898295074,22800.093494852677,4699.974067311269,13471.376965249088,199.9988964813306,12101.586007683753,6942.583676519049,31,-12984,,-70669,,1,35,2.7209926,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66925073894107,-12.984822342287057]}"
4580,355,42,2,10807.36951257104,0.0,14257.933576780431,23984.082976479553,3667.412166237975,13591.49702267498,899.9970556592464,10807.36951257104,6299.979389614724,21,-12972,,-70664,,1,35,1.0423396,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66455797677641,-12.97219744553555]}"
4581,403,37,2,14229.587514644058,0.0,17412.833305821547,25451.556368426573,1552.3835859257088,9616.442327142091,0.0,14229.587514644058,10399.77300533526,31,-12972,,-70702,,1,34,9.657757,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.70234578964038,-12.971952950159764]}"
4582,303,43,2,7625.683537753764,0.0,15342.268552464382,13149.623211539894,6768.7949155942815,16177.290608553514,100.0181038300067,7625.683537753764,15458.541350577032,42,-13076,,-70227,,1,35,5.7261677,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22721951881007,-13.075885084228217]}"
4583,355,41,2,10372.998931646407,0.0,14674.06598706621,24999.89624001905,2692.571228275296,13223.030991735535,99.9995849600762,10372.998931646407,6576.445923993517,21,-12963,,-70666,,1,33,8.979229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66634113497176,-12.9631467542513]}"
4584,319,36,2,9404.830559688215,0.0,12517.247468025118,23635.043717338624,4248.549279630085,15339.564169689294,500.0023681584543,9404.830559688215,4501.132292658774,31,-12971,,-70647,,1,37,4.227292,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64796201024247,-12.97139915588923]}"
4585,365,38,2,9343.706944925887,6806.803869365976,9343.706944925887,13903.623983094525,10200.774080710891,23617.81208630767,700.0194821507649,9487.097014662862,8139.63683121923,41,-13054,,-70599,,1,30,3.5419645,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59964619765515,-13.054864255836929]}"
4586,355,37,2,14792.073120860734,0.0,15211.678543197082,20682.385265616504,3935.6926052733247,13582.935773914314,199.99791014533128,14792.073120860734,8900.4687756197,21,-13008,,-70679,,1,36,7.848565,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.67955360780081,-13.009161828141467]}"
4587,306,40,2,10612.376563714563,0.0,18149.77730743742,14841.266490991953,7633.610463982316,13062.329157973705,400.07555926974595,10612.376563714563,18272.82433005556,34,-13056,,-70204,,1,39,2.5528939,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20499391062334,-13.057003912715041]}"
4588,318,38,2,8940.451353936745,854.4093023015228,11140.13435718321,22901.1126407768,5360.093321212736,16709.45345736209,141.4228339722762,8940.451353936745,3224.9367968612964,34,-12975,,-70635,,1,39,2.9972904,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.63600983551656,-12.975994278814108]}"
4589,329,36,2,12300.426317322934,1280.6269109917414,12903.508692300153,20700.274899338972,6363.971285100061,15561.837308964006,1272.794257020012,12300.426317322934,6053.934101916831,34,-12999,,-70654,,1,39,1.427537,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65460511980476,-13.000282803087376]}"
4590,351,41,2,11604.266481355577,0.0,14190.437112965594,22961.186533780492,4606.500027983556,13764.03261859624,141.4208314305216,11604.266481355577,6493.819139730584,31,-12982,,-70665,,1,34,4.748201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66554584036643,-12.982134325633199]}"
4591,333,39,2,10904.145228940604,583.0961290414515,12975.767514819028,22436.167725810552,5288.675650642163,14972.33189663025,223.60715805361085,10904.145228940604,5360.045950074874,21,-12983,,-70654,,1,38,4.6273675,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65449737598148,-12.984012730386613]}"
4592,383,40,2,10198.185921709312,3324.201909475557,10198.185921709312,18414.390253765363,7839.117953448968,18896.038899949337,100.00144041931347,10791.355557145831,5322.670020531137,31,-13016,,-70627,,1,31,6.5333896,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.62797380319141,-13.015818131445801]}"
4593,329,36,2,14128.294092281907,0.0,14128.294092281907,19522.487194984158,4459.806033938198,15268.872734169528,1208.3006444033808,14241.091005274413,7859.999731258941,41,-13014,,-70664,,1,36,2.5049329,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66484106207103,-13.014680189575358]}"
4594,321,40,2,7126.592442315416,0.0,14943.244181566528,13441.546461779602,5657.874766641624,17199.904394123598,1140.3811169064818,7126.592442315416,15050.638145082712,31,-13090,,-70228,,1,35,1.6854229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22913563464243,-13.090341219574563]}"
4595,315,39,2,9123.65061806873,0.0,16889.234185048826,14748.93260091085,5819.158969163708,14924.240354902437,1600.2980191201887,9123.65061806873,17003.166453152004,31,-13078,,-70212,,1,40,5.3033304,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2124726996745,-13.077762894314906]}"
4596,337,36,2,13582.345456280738,200.00005859374141,13582.345456280738,18027.761658888423,4428.319262455495,16620.7750079602,1500.0004394530606,14141.079066673869,8139.412682642364,31,-13026,,-70657,,1,36,4.8379326,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65754461856392,-13.026477980889705]}"
4597,320,35,2,12918.941700772892,316.2268704486543,13903.19765869416,20997.559446631974,5536.228535427739,14641.338251502895,538.5149556157887,12918.941700772892,6931.791099116944,41,-12999,,-70663,,1,40,2.8906198,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66382281286766,-13.000223903066148]}"
4598,296,40,2,9648.048938279162,0.0,17339.912434674734,14850.33875399475,6547.216800072259,14186.096733156055,728.1473004900433,9648.048938279162,17457.780464315452,31,-13070,,-70210,,1,38,3.8310316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20966633969363,-13.069639294170155]}"
4599,334,36,2,13536.620973019355,100.00002929687071,13536.620973019355,18216.48139563456,4517.744122787874,16515.75489725407,1389.2448059501157,14105.676750301078,7993.124385091656,41,-13024,,-70657,,1,35,5.0442266,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65753259348519,-13.024670202420209]}"
4600,313,40,2,11631.963199352624,0.0,19297.53049240935,18409.010469994715,900.1748853521465,16105.923836191063,721.2503791160182,11631.963199352624,19387.522680414684,42,-13117,,-70189,,1,38,2.1175401,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18960761033871,-13.11764913347995]}"
4601,326,39,2,10044.933536171045,0.0,12692.166922995139,23115.87447437029,4661.560741309919,15163.49470890894,223.60756202971984,10044.933536171045,4825.987899796723,31,-12976,,-70651,,1,36,1.427403,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65076279330164,-12.976805004787266]}"
4602,305,40,2,10887.377515815046,0.0,18439.334266385544,14959.108673208942,7528.712578771354,12796.56794015001,400.07593029323823,10887.377515815046,18562.078869802004,21,-13057,,-70201,,1,40,0.47604212,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20222741980653,-13.05701678648904]}"
4603,326,39,2,11107.20812297624,400.00011718748283,13274.038693712908,22514.22432609792,5188.450228482248,14684.009205249218,223.6068632597734,11107.20812297624,5651.550116104761,31,-12983,,-70657,,1,37,1.4274445,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.657262508795,-12.98399511751774]}"
4604,337,37,2,14052.031705512707,0.0,14052.031705512707,17475.107259539833,3889.7260792605543,16753.788358643273,894.4262738621893,14578.393743738055,8861.706322833566,31,-13033,,-70660,,1,38,1.0588369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66035238970298,-13.032787492643651]}"
4605,354,37,2,11496.66660261485,3080.623318465508,11496.66660261485,15631.2565019916,6718.715779418667,19896.482414603073,100.00126464044092,11903.931451989796,7961.25637499254,42,-13042,,-70631,,1,36,5.5676765,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.63183286144616,-13.042008083506103]}"
4606,332,36,2,11520.89510373265,1529.7117547872788,12401.660636502225,21149.313245882502,6580.298933387023,15814.611265611997,1456.027594336299,11520.89510373265,5323.553196754201,31,-12994,,-70650,,1,40,1.9030381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64996042535617,-12.994888762664567]}"
4607,332,35,2,12159.421469729372,1565.2556856079857,12159.421469729372,19621.773249507245,6382.038986024813,16651.81282267039,100.00051757678557,12605.222915909326,5946.4582762557075,41,-13008,,-70647,,1,35,3.0145667,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64728461958325,-13.008464746484387]}"
4608,335,37,2,13963.49663799777,0.0,13963.49663799777,18668.11824131921,4218.996381694348,15932.63971846591,1708.7974115587838,14552.290980235295,8139.39440074859,34,-13021,,-70661,,1,37,2.356749,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66212380501085,-13.021929025217576]}"
4609,302,40,2,7551.8661817559005,0.0,15333.795057303167,13443.047963531362,6141.146252526631,16454.427669080203,583.2009513104167,7551.8661817559005,15446.246344113733,31,-13082,,-70226,,1,37,3.8245218,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22632856557856,-13.082217868847112]}"
4610,307,39,2,7909.033289425592,0.0,15672.57348860931,13642.502006990588,6214.022787149944,16040.692514438815,500.09117820997153,7909.033289425592,15786.413954628044,42,-13079,,-70223,,1,37,9.703931,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2235484415949,-13.079518819772472]}"
4611,302,43,2,8318.372680738947,0.0,16006.053905048806,13636.643897889671,6801.244671244007,15457.601565483132,632.5712966239458,8318.372680738947,16123.744773455426,31,-13072,,-70221,,1,36,4.0480585,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2216683639601,-13.072295075863407]}"
4612,362,39,2,12834.88687034714,0.0,17516.832535176836,26053.725247485905,1476.456856670514,10340.51806433639,223.60294355662563,12834.88687034714,9463.979727587106,42,-12962,,-70693,,1,33,7.3938527,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69306207921665,-12.962070443950182]}"
4613,368,40,2,12067.190425109708,0.0,15716.39446487603,24357.50649003525,3130.4638328199467,12151.010003954854,0.0,12067.190425109708,7800.562916323632,31,-12973,,-70678,,1,34,9.559555,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.67838893853624,-12.973012515218073]}"
