system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_194,0,0,0,0,0,0,0,0,0,219,0.21640022522337823,34,0,10844.827620445954,27251.056651227274,26106.957399198294,20010.181946041164,35582.46701158956,8603.88449012049,100.03840571094433,10844.827620445954,5946.187239443729,41,-12409,-69331,0.0,0.8467383597929092,38,0.0,5.38939,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.33208350090207,-12.40955886241348]}"
1_1_1_1_2_203,0,0,0,0,0,0,0,0,0,292,0.021658747824161752,38,0,23038.241847032157,38617.7705081927,39811.533084559414,38715.83555087432,51473.88516789211,5968.038799251811,300.0736725945397,23038.241847032157,7617.643351744357,21,-12527,-70028,0.0,0.910542671681373,33,0.0,4.396546,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02831689161236,-12.526892831037435]}"
1_1_1_1_2_205,0,0,0,0,0,0,0,0,0,242,0.21692055395088364,38,0,1300.4999722162147,12451.875088387165,13905.705702690668,5316.175885622578,19255.51950146982,2040.3922263868776,5249.874999627968,1300.4999722162147,15010.436645646545,24,-12610,-69326,0.0,0.8388611718021082,37,0.0,2.8204803,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.32653919842203,-12.610047073588944]}"
1_1_1_1_2_211,0,0,0,0,0,0,0,0,0,398,0.008089080241597208,37,0,15671.254820885686,7246.157124049012,15671.254820885686,43580.06760247543,0.0,6081.997681747442,0.0,34001.017868782714,28192.908246412342,42,-12914,-70899,0.0,0.9963375593839005,37,0.0,9.985534,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.89992305840298,-12.914231721614351]}"
1_1_1_1_2_221,0,0,0,0,0,0,0,0,0,303,0.15109920579704486,39,0,7122.295130214347,0.0,10689.525994692698,42311.93865205324,806.282106313254,11054.27854623423,1486.7107448549593,7122.295130214347,3105.0518759505053,31,-12598,-70503,0.0,0.8685103813045478,39,0.0,2.8861396,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50412750948189,-12.598419725993065]}"
1_1_1_1_2_229,0,0,0,0,0,0,0,0,0,250,0.14608697112354613,36,0,3042.2559819911503,0.0,52018.41788533144,3042.2559819911503,12149.274349472482,12185.868012968636,1221.0066283699844,6967.633257774389,8383.937877337516,41,-12920,-69878,0.0,0.9811274691435357,34,0.0,2.422291,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.87919626200323,-12.92020367284139]}"
1_1_1_1_2_230,0,0,0,0,0,0,0,0,0,221,0.013210679439256244,37,0,15491.996807859425,11417.279167938077,23875.21589662283,27165.23970148363,0.0,17548.399079236275,200.08003281499631,15491.996807859425,27781.60068395088,21,-12763,-68995,0.0,0.95648380479226,36,0.0,1.057918,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.99590024228957,-12.763795542010836]}"
1_1_1_1_2_234,0,0,0,0,0,0,0,0,0,203,0.18827517086413406,36,0,1655.9486842658725,0.0,6102.410632074912,10024.938142246034,1421.8287046034675,14809.228074484818,0.0,1655.9486842658725,10508.435981967505,31,-12692,-69185,0.0,0.8449099439431131,32,0.0,4.987357,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.18434549443081,-12.692925660004416]}"
1_1_1_1_2_239,0,0,0,0,0,0,0,0,0,264,0.2037102924734194,37,0,500.01347638088714,0.0,20243.322088137178,37159.71517830583,8318.877947926632,21413.890763539737,1166.221811020528,500.01347638088714,21781.542040545763,42,-12747,-70599,0.0,0.8513120748417277,36,0.0,1.0578617,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59921371595583,-12.747565976695357]}"
1_1_1_1_2_244,0,0,0,0,0,0,0,0,0,247,0.280001590919958,35,0,6163.38670281506,13318.319742801055,35416.27594883437,13445.448641451942,29886.832588938203,1523.7029473867274,2103.1364477771644,6163.38670281506,14555.151967897613,21,-12602,-69524,0.0,0.895983939701251,36,0.0,5.974706,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52457108950944,-12.602949716723264]}"
1_1_1_1_2_246,0,0,0,0,0,0,0,0,0,738,0.2165074306240436,41,0,1555.5294843115316,5215.008449178199,1555.5294843115316,20210.755182208213,7937.345853079998,25603.146957225417,399.97288970628995,8781.204167140177,5313.771933029306,21,-13177,-70793,0.0,0.8508890665786637,35,0.0,25.915934,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7945670419014,-13.177188636341928]}"
